ORDERNUMBER;ORDERITEM;PRODUCTID;PRODUCTDESCR;SALESQUANTITY
100042.0;20.0;DXTR3000  ;Deluxe Touring Bike (red)                         ;1.0
100042.0;30.0;PRTR2000  ;Professional Touring Bike (silver)                ;1.0
100042.0;40.0;PRTR3000  ;Professional Touring Bike (red)                   ;1.0
100042.0;50.0;ORMN1000  ;Men's Off Road Bike Fully                         ;1.0
100042.0;60.0;ORWN1000  ;Women's Off Road Bike Fully                       ;1.0
100042.0;70.0;ORHT1000  ;Enduro 550 (red)                                  ;1.0
100042.0;80.0;ORHT2000  ;Enduro 550 (silver)                               ;1.0
100042.0;90.0;DXRD1000  ;Moto 300                                          ;2.0
100042.0;100.0;PRRD1000  ;Professional Road Bike (red)                      ;1.0
100043.0;10.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;1.0
100043.0;20.0;DXTR3000  ;Deluxe Touring Bike (red)                         ;1.0
100043.0;30.0;PRTR1000  ;Professional Touring Bike (black)                 ;1.0
100043.0;40.0;PRTR2000  ;Professional Touring Bike (silver)                ;1.0
100043.0;50.0;ORMN1000  ;Men's Off Road Bike Fully                         ;1.0
100043.0;60.0;ORWN1000  ;Women's Off Road Bike Fully                       ;1.0
100043.0;70.0;ORHT1000  ;Enduro 550 (red)                                  ;2.0
100043.0;80.0;ORHT2000  ;Enduro 550 (silver)                               ;4.0
100043.0;90.0;DXRD1000  ;Moto 300                                          ;4.0
100043.0;100.0;DXRD2000  ;Moto 450                                          ;1.0
100043.0;110.0;PRRD1000  ;Professional Road Bike (red)                      ;2.0
100044.0;10.0;ORHT2000  ;Enduro 550 (silver)                               ;1.0
100044.0;20.0;DXRD1000  ;Moto 300                                          ;1.0
100045.0;10.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;1.0
100045.0;20.0;DXTR3000  ;Deluxe Touring Bike (red)                         ;1.0
100045.0;30.0;PRTR1000  ;Professional Touring Bike (black)                 ;1.0
100045.0;40.0;ORMN1000  ;Men's Off Road Bike Fully                         ;1.0
100045.0;50.0;ORHT1000  ;Enduro 550 (red)                                  ;1.0
100045.0;60.0;ORHT2000  ;Enduro 550 (silver)                               ;1.0
100045.0;70.0;DXRD1000  ;Moto 300                                          ;1.0
100045.0;80.0;PRRD1000  ;Professional Road Bike (red)                      ;1.0
100046.0;10.0;DXTR1000  ;Deluxe Touring Bike (black)                       ;1.0
100046.0;20.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;1.0
100046.0;30.0;PRTR1000  ;Professional Touring Bike (black)                 ;1.0
100046.0;40.0;PRTR2000  ;Professional Touring Bike (silver)                ;1.0
100046.0;50.0;PRTR3000  ;Professional Touring Bike (red)                   ;1.0
100046.0;60.0;ORMN1000  ;Men's Off Road Bike Fully                         ;1.0
100046.0;70.0;ORWN1000  ;Women's Off Road Bike Fully                       ;1.0
100046.0;80.0;ORHT1000  ;Enduro 550 (red)                                  ;1.0
100046.0;90.0;ORHT2000  ;Enduro 550 (silver)                               ;1.0
100046.0;100.0;DXRD1000  ;Moto 300                                          ;1.0
100046.0;110.0;PRRD1000  ;Professional Road Bike (red)                      ;1.0
100047.0;10.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;3.0
100047.0;20.0;PRTR1000  ;Professional Touring Bike (black)                 ;1.0
100047.0;30.0;PRTR2000  ;Professional Touring Bike (silver)                ;2.0
100047.0;40.0;ORMN1000  ;Men's Off Road Bike Fully                         ;13.0
100047.0;50.0;ORWN1000  ;Women's Off Road Bike Fully                       ;5.0
100047.0;60.0;ORHT1000  ;Enduro 550 (red)                                  ;3.0
100047.0;70.0;ORHT2000  ;Enduro 550 (silver)                               ;2.0
100048.0;10.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;3.0
100048.0;20.0;PRTR1000  ;Professional Touring Bike (black)                 ;2.0
100048.0;30.0;PRTR2000  ;Professional Touring Bike (silver)                ;2.0
100048.0;40.0;PRTR3000  ;Professional Touring Bike (red)                   ;1.0
100048.0;50.0;ORMN1000  ;Men's Off Road Bike Fully                         ;3.0
100048.0;60.0;ORHT1000  ;Enduro 550 (red)                                  ;3.0
100048.0;70.0;ORHT2000  ;Enduro 550 (silver)                               ;6.0
100048.0;80.0;DXRD1000  ;Moto 300                                          ;1.0
100048.0;90.0;DXRD2000  ;Moto 450                                          ;1.0
100048.0;100.0;PRRD1000  ;Professional Road Bike (red)                      ;3.0
100048.0;110.0;PRRD2000  ;Professional Road Bike (silver)                   ;1.0
100049.0;10.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;1.0
100049.0;20.0;ORMN1000  ;Men's Off Road Bike Fully                         ;2.0
100049.0;30.0;ORHT1000  ;Enduro 550 (red)                                  ;2.0
100049.0;40.0;ORHT2000  ;Enduro 550 (silver)                               ;3.0
100050.0;10.0;PRTR3000  ;Professional Touring Bike (red)                   ;1.0
100050.0;20.0;ORMN1000  ;Men's Off Road Bike Fully                         ;3.0
100050.0;30.0;ORHT2000  ;Enduro 550 (silver)                               ;1.0
100050.0;40.0;PRRD1000  ;Professional Road Bike (red)                      ;2.0
100051.0;10.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;1.0
100051.0;20.0;PRTR2000  ;Professional Touring Bike (silver)                ;1.0
100051.0;30.0;ORMN1000  ;Men's Off Road Bike Fully                         ;2.0
100051.0;40.0;DXRD1000  ;Moto 300                                          ;3.0
100052.0;10.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;2.0
100052.0;20.0;PRTR2000  ;Professional Touring Bike (silver)                ;2.0
100052.0;30.0;ORMN1000  ;Men's Off Road Bike Fully                         ;2.0
100052.0;40.0;ORHT1000  ;Enduro 550 (red)                                  ;1.0
100052.0;50.0;ORHT2000  ;Enduro 550 (silver)                               ;1.0
100052.0;60.0;DXRD1000  ;Moto 300                                          ;2.0
100052.0;70.0;PRRD1000  ;Professional Road Bike (red)                      ;2.0
100053.0;10.0;DXTR1000  ;Deluxe Touring Bike (black)                       ;2.0
100053.0;20.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;3.0
100053.0;30.0;DXTR3000  ;Deluxe Touring Bike (red)                         ;2.0
100053.0;40.0;PRTR2000  ;Professional Touring Bike (silver)                ;2.0
100053.0;50.0;PRTR3000  ;Professional Touring Bike (red)                   ;1.0
100053.0;60.0;ORMN1000  ;Men's Off Road Bike Fully                         ;3.0
100053.0;70.0;ORHT1000  ;Enduro 550 (red)                                  ;1.0
100053.0;80.0;ORHT2000  ;Enduro 550 (silver)                               ;9.0
100053.0;90.0;DXRD2000  ;Moto 450                                          ;1.0
100054.0;10.0;ORHT2000  ;Enduro 550 (silver)                               ;1.0
100055.0;10.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;1.0
100055.0;20.0;DXTR3000  ;Deluxe Touring Bike (red)                         ;1.0
100055.0;30.0;PRTR1000  ;Professional Touring Bike (black)                 ;1.0
100055.0;40.0;PRTR2000  ;Professional Touring Bike (silver)                ;3.0
100055.0;50.0;ORMN1000  ;Men's Off Road Bike Fully                         ;2.0
100055.0;60.0;ORWN1000  ;Women's Off Road Bike Fully                       ;3.0
100055.0;70.0;ORHT1000  ;Enduro 550 (red)                                  ;1.0
100055.0;80.0;ORHT2000  ;Enduro 550 (silver)                               ;5.0
100055.0;90.0;DXRD2000  ;Moto 450                                          ;1.0
100055.0;100.0;PRRD1000  ;Professional Road Bike (red)                      ;1.0
100056.0;10.0;DXTR1000  ;Deluxe Touring Bike (black)                       ;2.0
100056.0;20.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;3.0
100056.0;30.0;DXTR3000  ;Deluxe Touring Bike (red)                         ;1.0
100056.0;40.0;PRTR1000  ;Professional Touring Bike (black)                 ;2.0
100056.0;50.0;PRTR2000  ;Professional Touring Bike (silver)                ;5.0
100056.0;60.0;PRTR3000  ;Professional Touring Bike (red)                   ;1.0
100056.0;70.0;ORMN1000  ;Men's Off Road Bike Fully                         ;3.0
100056.0;80.0;ORWN1000  ;Women's Off Road Bike Fully                       ;2.0
100056.0;90.0;ORHT1000  ;Enduro 550 (red)                                  ;4.0
100056.0;100.0;ORHT2000  ;Enduro 550 (silver)                               ;6.0
100056.0;110.0;DXRD1000  ;Moto 300                                          ;3.0
100056.0;120.0;DXRD2000  ;Moto 450                                          ;1.0
100056.0;130.0;PRRD1000  ;Professional Road Bike (red)                      ;2.0
100057.0;10.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;2.0
100057.0;20.0;DXTR3000  ;Deluxe Touring Bike (red)                         ;1.0
100057.0;30.0;PRTR1000  ;Professional Touring Bike (black)                 ;1.0
100057.0;40.0;PRTR2000  ;Professional Touring Bike (silver)                ;1.0
100057.0;50.0;PRTR3000  ;Professional Touring Bike (red)                   ;1.0
100057.0;60.0;ORMN1000  ;Men's Off Road Bike Fully                         ;2.0
100057.0;70.0;ORHT2000  ;Enduro 550 (silver)                               ;1.0
100057.0;80.0;DXRD1000  ;Moto 300                                          ;1.0
100057.0;90.0;DXRD2000  ;Moto 450                                          ;1.0
100058.0;10.0;DXTR1000  ;Deluxe Touring Bike (black)                       ;1.0
100058.0;20.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;2.0
100058.0;30.0;DXTR3000  ;Deluxe Touring Bike (red)                         ;1.0
100058.0;40.0;PRTR2000  ;Professional Touring Bike (silver)                ;5.0
100058.0;50.0;PRTR3000  ;Professional Touring Bike (red)                   ;3.0
100058.0;60.0;DXRD1000  ;Moto 300                                          ;9.0
100058.0;70.0;PRRD1000  ;Professional Road Bike (red)                      ;1.0
100058.0;80.0;PRRD3000  ;Professional Road Bike (women)                    ;1.0
100059.0;10.0;PRTR1000  ;Professional Touring Bike (black)                 ;1.0
100059.0;20.0;ORMN1000  ;Men's Off Road Bike Fully                         ;3.0
100059.0;30.0;ORHT2000  ;Enduro 550 (silver)                               ;1.0
100059.0;40.0;DXRD1000  ;Moto 300                                          ;3.0
100059.0;50.0;DXRD2000  ;Moto 450                                          ;1.0
100060.0;10.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;1.0
100060.0;20.0;ORMN1000  ;Men's Off Road Bike Fully                         ;1.0
100060.0;30.0;ORHT2000  ;Enduro 550 (silver)                               ;1.0
100061.0;10.0;DXRD1000  ;Moto 300                                          ;1.0
100062.0;10.0;DXTR1000  ;Deluxe Touring Bike (black)                       ;2.0
100062.0;20.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;6.0
100062.0;30.0;PRTR1000  ;Professional Touring Bike (black)                 ;4.0
100062.0;40.0;PRTR2000  ;Professional Touring Bike (silver)                ;3.0
100062.0;50.0;PRTR3000  ;Professional Touring Bike (red)                   ;2.0
100062.0;60.0;ORMN1000  ;Men's Off Road Bike Fully                         ;6.0
100062.0;70.0;ORWN1000  ;Women's Off Road Bike Fully                       ;2.0
100062.0;80.0;ORHT2000  ;Enduro 550 (silver)                               ;1.0
100062.0;90.0;DXRD1000  ;Moto 300                                          ;3.0
100062.0;100.0;DXRD2000  ;Moto 450                                          ;1.0
100062.0;110.0;PRRD1000  ;Professional Road Bike (red)                      ;7.0
100062.0;120.0;PRRD2000  ;Professional Road Bike (silver)                   ;1.0
100063.0;10.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;1.0
100063.0;20.0;PRTR2000  ;Professional Touring Bike (silver)                ;1.0
100063.0;30.0;ORMN1000  ;Men's Off Road Bike Fully                         ;1.0
100064.0;10.0;PRTR2000  ;Professional Touring Bike (silver)                ;2.0
100064.0;20.0;ORMN1000  ;Men's Off Road Bike Fully                         ;3.0
100064.0;30.0;ORWN1000  ;Women's Off Road Bike Fully                       ;1.0
100064.0;40.0;ORHT1000  ;Enduro 550 (red)                                  ;3.0
100064.0;50.0;ORHT2000  ;Enduro 550 (silver)                               ;2.0
100065.0;10.0;DXTR3000  ;Deluxe Touring Bike (red)                         ;1.0
100065.0;20.0;PRTR1000  ;Professional Touring Bike (black)                 ;1.0
100065.0;30.0;PRTR2000  ;Professional Touring Bike (silver)                ;2.0
100065.0;40.0;PRTR3000  ;Professional Touring Bike (red)                   ;1.0
100065.0;50.0;ORMN1000  ;Men's Off Road Bike Fully                         ;1.0
100065.0;60.0;ORHT1000  ;Enduro 550 (red)                                  ;1.0
100065.0;70.0;ORHT2000  ;Enduro 550 (silver)                               ;3.0
100065.0;80.0;DXRD1000  ;Moto 300                                          ;2.0
100065.0;90.0;PRRD1000  ;Professional Road Bike (red)                      ;3.0
100066.0;10.0;DXTR1000  ;Deluxe Touring Bike (black)                       ;1.0
100066.0;20.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;1.0
100066.0;30.0;DXTR3000  ;Deluxe Touring Bike (red)                         ;1.0
100066.0;40.0;PRTR1000  ;Professional Touring Bike (black)                 ;1.0
100066.0;50.0;PRTR2000  ;Professional Touring Bike (silver)                ;1.0
100066.0;60.0;PRTR3000  ;Professional Touring Bike (red)                   ;1.0
100066.0;70.0;ORMN1000  ;Men's Off Road Bike Fully                         ;1.0
100066.0;80.0;ORWN1000  ;Women's Off Road Bike Fully                       ;1.0
100066.0;90.0;ORHT1000  ;Enduro 550 (red)                                  ;1.0
100066.0;100.0;ORHT2000  ;Enduro 550 (silver)                               ;2.0
100066.0;110.0;DXRD1000  ;Moto 300                                          ;3.0
100066.0;120.0;DXRD2000  ;Moto 450                                          ;1.0
100066.0;130.0;PRRD1000  ;Professional Road Bike (red)                      ;1.0
100066.0;140.0;PRRD2000  ;Professional Road Bike (silver)                   ;1.0
100067.0;10.0;PRTR2000  ;Professional Touring Bike (silver)                ;1.0
100067.0;20.0;ORHT2000  ;Enduro 550 (silver)                               ;1.0
100068.0;10.0;DXTR1000  ;Deluxe Touring Bike (black)                       ;1.0
100068.0;20.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;2.0
100068.0;30.0;PRTR2000  ;Professional Touring Bike (silver)                ;2.0
100068.0;40.0;PRTR3000  ;Professional Touring Bike (red)                   ;1.0
100068.0;50.0;ORMN1000  ;Men's Off Road Bike Fully                         ;2.0
100068.0;60.0;ORWN1000  ;Women's Off Road Bike Fully                       ;1.0
100068.0;70.0;DXRD1000  ;Moto 300                                          ;2.0
100068.0;80.0;PRRD1000  ;Professional Road Bike (red)                      ;2.0
100069.0;10.0;DXTR1000  ;Deluxe Touring Bike (black)                       ;1.0
100069.0;20.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;2.0
100069.0;30.0;PRTR2000  ;Professional Touring Bike (silver)                ;2.0
100069.0;40.0;PRTR3000  ;Professional Touring Bike (red)                   ;1.0
100069.0;50.0;ORMN1000  ;Men's Off Road Bike Fully                         ;1.0
100069.0;60.0;ORWN1000  ;Women's Off Road Bike Fully                       ;1.0
100069.0;70.0;ORHT2000  ;Enduro 550 (silver)                               ;2.0
100069.0;80.0;DXRD1000  ;Moto 300                                          ;2.0
100069.0;90.0;PRRD1000  ;Professional Road Bike (red)                      ;1.0
100070.0;10.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;1.0
100070.0;20.0;ORMN1000  ;Men's Off Road Bike Fully                         ;1.0
100070.0;30.0;ORHT1000  ;Enduro 550 (red)                                  ;1.0
100070.0;40.0;PRRD1000  ;Professional Road Bike (red)                      ;1.0
100071.0;10.0;PRTR2000  ;Professional Touring Bike (silver)                ;1.0
100071.0;20.0;DXRD1000  ;Moto 300                                          ;1.0
100072.0;10.0;DXTR1000  ;Deluxe Touring Bike (black)                       ;1.0
100072.0;20.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;2.0
100072.0;30.0;DXTR3000  ;Deluxe Touring Bike (red)                         ;1.0
100072.0;40.0;PRTR1000  ;Professional Touring Bike (black)                 ;1.0
100072.0;50.0;PRTR2000  ;Professional Touring Bike (silver)                ;1.0
100072.0;60.0;PRTR3000  ;Professional Touring Bike (red)                   ;1.0
100072.0;70.0;ORMN1000  ;Men's Off Road Bike Fully                         ;2.0
100072.0;80.0;ORWN1000  ;Women's Off Road Bike Fully                       ;1.0
100072.0;90.0;ORHT1000  ;Enduro 550 (red)                                  ;2.0
100072.0;100.0;ORHT2000  ;Enduro 550 (silver)                               ;2.0
100072.0;110.0;DXRD1000  ;Moto 300                                          ;2.0
100072.0;120.0;DXRD2000  ;Moto 450                                          ;1.0
100072.0;130.0;PRRD1000  ;Professional Road Bike (red)                      ;1.0
100073.0;10.0;DXTR1000  ;Deluxe Touring Bike (black)                       ;1.0
100073.0;20.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;2.0
100073.0;30.0;DXTR3000  ;Deluxe Touring Bike (red)                         ;1.0
100073.0;40.0;PRTR2000  ;Professional Touring Bike (silver)                ;3.0
100073.0;50.0;ORMN1000  ;Men's Off Road Bike Fully                         ;2.0
100073.0;60.0;ORWN1000  ;Women's Off Road Bike Fully                       ;1.0
100073.0;70.0;ORHT1000  ;Enduro 550 (red)                                  ;3.0
100073.0;80.0;ORHT2000  ;Enduro 550 (silver)                               ;2.0
100073.0;90.0;DXRD1000  ;Moto 300                                          ;5.0
100073.0;100.0;PRRD1000  ;Professional Road Bike (red)                      ;1.0
100074.0;10.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;1.0
100074.0;20.0;ORMN1000  ;Men's Off Road Bike Fully                         ;1.0
100074.0;30.0;ORHT2000  ;Enduro 550 (silver)                               ;1.0
100075.0;10.0;DXTR3000  ;Deluxe Touring Bike (red)                         ;1.0
100075.0;20.0;PRTR2000  ;Professional Touring Bike (silver)                ;1.0
100075.0;30.0;ORHT1000  ;Enduro 550 (red)                                  ;1.0
100075.0;40.0;ORHT2000  ;Enduro 550 (silver)                               ;1.0
100075.0;50.0;DXRD1000  ;Moto 300                                          ;3.0
100076.0;10.0;DXTR1000  ;Deluxe Touring Bike (black)                       ;1.0
100076.0;20.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;6.0
100076.0;30.0;PRTR1000  ;Professional Touring Bike (black)                 ;2.0
100076.0;40.0;PRTR2000  ;Professional Touring Bike (silver)                ;3.0
100076.0;50.0;PRTR3000  ;Professional Touring Bike (red)                   ;1.0
100076.0;60.0;ORMN1000  ;Men's Off Road Bike Fully                         ;5.0
100076.0;70.0;ORWN1000  ;Women's Off Road Bike Fully                       ;2.0
100076.0;80.0;ORHT1000  ;Enduro 550 (red)                                  ;1.0
100076.0;90.0;ORHT2000  ;Enduro 550 (silver)                               ;6.0
100076.0;100.0;DXRD1000  ;Moto 300                                          ;3.0
100076.0;110.0;DXRD2000  ;Moto 450                                          ;1.0
100076.0;120.0;PRRD1000  ;Professional Road Bike (red)                      ;1.0
100076.0;130.0;PRRD3000  ;Professional Road Bike (women)                    ;1.0
100077.0;10.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;1.0
100077.0;20.0;DXTR3000  ;Deluxe Touring Bike (red)                         ;1.0
100077.0;30.0;PRTR1000  ;Professional Touring Bike (black)                 ;1.0
100077.0;40.0;PRTR2000  ;Professional Touring Bike (silver)                ;2.0
100077.0;50.0;PRTR3000  ;Professional Touring Bike (red)                   ;1.0
100077.0;60.0;ORMN1000  ;Men's Off Road Bike Fully                         ;1.0
100077.0;70.0;ORHT1000  ;Enduro 550 (red)                                  ;2.0
100077.0;80.0;ORHT2000  ;Enduro 550 (silver)                               ;2.0
100077.0;90.0;DXRD1000  ;Moto 300                                          ;3.0
100077.0;100.0;DXRD2000  ;Moto 450                                          ;1.0
100077.0;110.0;PRRD1000  ;Professional Road Bike (red)                      ;2.0
100077.0;120.0;PRRD2000  ;Professional Road Bike (silver)                   ;1.0
100077.0;130.0;PRRD3000  ;Professional Road Bike (women)                    ;1.0
100078.0;10.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;1.0
100078.0;20.0;PRTR1000  ;Professional Touring Bike (black)                 ;1.0
100078.0;30.0;PRTR2000  ;Professional Touring Bike (silver)                ;1.0
100078.0;40.0;PRTR3000  ;Professional Touring Bike (red)                   ;1.0
100078.0;50.0;ORMN1000  ;Men's Off Road Bike Fully                         ;1.0
100078.0;60.0;ORWN1000  ;Women's Off Road Bike Fully                       ;1.0
100078.0;70.0;ORHT1000  ;Enduro 550 (red)                                  ;1.0
100078.0;80.0;ORHT2000  ;Enduro 550 (silver)                               ;1.0
100078.0;90.0;DXRD1000  ;Moto 300                                          ;1.0
100078.0;100.0;DXRD2000  ;Moto 450                                          ;1.0
100078.0;110.0;PRRD1000  ;Professional Road Bike (red)                      ;1.0
100078.0;120.0;PRRD3000  ;Professional Road Bike (women)                    ;1.0
100079.0;10.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;1.0
100079.0;20.0;DXTR3000  ;Deluxe Touring Bike (red)                         ;1.0
100079.0;30.0;PRTR1000  ;Professional Touring Bike (black)                 ;1.0
100079.0;40.0;PRTR2000  ;Professional Touring Bike (silver)                ;2.0
100079.0;50.0;PRTR3000  ;Professional Touring Bike (red)                   ;1.0
100079.0;60.0;ORMN1000  ;Men's Off Road Bike Fully                         ;1.0
100079.0;70.0;ORHT1000  ;Enduro 550 (red)                                  ;2.0
100079.0;80.0;ORHT2000  ;Enduro 550 (silver)                               ;2.0
100079.0;90.0;DXRD1000  ;Moto 300                                          ;1.0
100079.0;100.0;DXRD2000  ;Moto 450                                          ;1.0
100079.0;110.0;PRRD1000  ;Professional Road Bike (red)                      ;2.0
100079.0;120.0;PRRD3000  ;Professional Road Bike (women)                    ;1.0
100080.0;10.0;DXTR1000  ;Deluxe Touring Bike (black)                       ;1.0
100080.0;20.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;1.0
100080.0;30.0;DXTR3000  ;Deluxe Touring Bike (red)                         ;1.0
100080.0;40.0;PRTR2000  ;Professional Touring Bike (silver)                ;1.0
100080.0;50.0;PRTR3000  ;Professional Touring Bike (red)                   ;1.0
100080.0;60.0;ORMN1000  ;Men's Off Road Bike Fully                         ;1.0
100080.0;70.0;ORWN1000  ;Women's Off Road Bike Fully                       ;1.0
100080.0;80.0;ORHT1000  ;Enduro 550 (red)                                  ;2.0
100080.0;90.0;ORHT2000  ;Enduro 550 (silver)                               ;1.0
100080.0;100.0;DXRD1000  ;Moto 300                                          ;4.0
100080.0;110.0;DXRD2000  ;Moto 450                                          ;1.0
100080.0;120.0;PRRD1000  ;Professional Road Bike (red)                      ;2.0
100080.0;130.0;PRRD2000  ;Professional Road Bike (silver)                   ;1.0
100080.0;140.0;PRRD3000  ;Professional Road Bike (women)                    ;1.0
100082.0;10.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;1.0
100082.0;20.0;ORMN1000  ;Men's Off Road Bike Fully                         ;1.0
100082.0;30.0;ORHT1000  ;Enduro 550 (red)                                  ;1.0
100082.0;40.0;ORHT2000  ;Enduro 550 (silver)                               ;1.0
100082.0;50.0;PRRD1000  ;Professional Road Bike (red)                      ;1.0
100083.0;10.0;DXTR1000  ;Deluxe Touring Bike (black)                       ;1.0
100083.0;20.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;1.0
100083.0;30.0;PRTR2000  ;Professional Touring Bike (silver)                ;3.0
100083.0;40.0;ORHT2000  ;Enduro 550 (silver)                               ;5.0
100083.0;50.0;DXRD1000  ;Moto 300                                          ;6.0
100083.0;60.0;DXRD2000  ;Moto 450                                          ;1.0
100084.0;10.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;1.0
100084.0;20.0;PRTR1000  ;Professional Touring Bike (black)                 ;1.0
100084.0;30.0;PRTR2000  ;Professional Touring Bike (silver)                ;1.0
100084.0;40.0;PRTR3000  ;Professional Touring Bike (red)                   ;1.0
100084.0;50.0;ORMN1000  ;Men's Off Road Bike Fully                         ;1.0
100084.0;60.0;ORWN1000  ;Women's Off Road Bike Fully                       ;1.0
100084.0;70.0;ORHT1000  ;Enduro 550 (red)                                  ;1.0
100084.0;80.0;ORHT2000  ;Enduro 550 (silver)                               ;2.0
100084.0;90.0;DXRD1000  ;Moto 300                                          ;2.0
100084.0;100.0;DXRD2000  ;Moto 450                                          ;1.0
100084.0;110.0;PRRD1000  ;Professional Road Bike (red)                      ;1.0
100085.0;10.0;DXRD1000  ;Moto 300                                          ;1.0
100086.0;10.0;DXTR1000  ;Deluxe Touring Bike (black)                       ;1.0
100086.0;20.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;1.0
100001.0;10.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;2.0
100001.0;20.0;PRTR2000  ;Professional Touring Bike (silver)                ;5.0
100001.0;30.0;ORMN1000  ;Men's Off Road Bike Fully                         ;1.0
100001.0;40.0;ORHT1000  ;Enduro 550 (red)                                  ;1.0
100001.0;50.0;DXRD1000  ;Moto 300                                          ;7.0
100001.0;60.0;DXRD2000  ;Moto 450                                          ;2.0
100001.0;70.0;PRRD1000  ;Professional Road Bike (red)                      ;2.0
100002.0;10.0;DXTR1000  ;Deluxe Touring Bike (black)                       ;2.0
100002.0;20.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;1.0
100002.0;30.0;PRTR2000  ;Professional Touring Bike (silver)                ;3.0
100002.0;40.0;PRTR3000  ;Professional Touring Bike (red)                   ;2.0
100002.0;50.0;ORMN1000  ;Men's Off Road Bike Fully                         ;1.0
100002.0;60.0;ORWN1000  ;Women's Off Road Bike Fully                       ;2.0
100002.0;70.0;ORHT1000  ;Enduro 550 (red)                                  ;1.0
100002.0;80.0;DXRD1000  ;Moto 300                                          ;1.0
100002.0;90.0;DXRD2000  ;Moto 450                                          ;1.0
100003.0;10.0;DXTR1000  ;Deluxe Touring Bike (black)                       ;1.0
100003.0;20.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;4.0
